curvature,cap,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0.0,1.5,guarded,60,1.0,1.0,1.0,1.0,0.0,0.0,0.35312959889815004,-1.4247862149356177e-16,3.0,0.0
0.0,1.5,linear_ubc,60,1.0,1.0,1.0,1.0,0.0,0.0,0.35312959889815004,-1.4247862149356177e-16,3.0,0.0
0.0,1.5,trust_recenter,60,1.0,1.0,1.0,1.0,0.0,0.0,0.35312959889815004,-1.4247862149356177e-16,3.0,0.0
0.0,3.0,guarded,60,1.0,1.0,1.0,1.0,0.0,0.0,0.5648610282604892,-1.8850661772281305e-16,3.0,0.0
0.0,3.0,linear_ubc,60,1.0,1.0,1.0,1.0,0.0,0.0,0.5648610282604892,-1.8850661772281305e-16,3.0,0.0
0.0,3.0,trust_recenter,60,1.0,1.0,1.0,1.0,0.0,0.0,0.5648610282604892,-1.8850661772281305e-16,3.0,0.0
0.0,5.0,guarded,60,1.0,1.0,1.0,1.0,0.0,0.0,0.5439659508990746,-1.8943180357666734e-16,3.0,0.0
0.0,5.0,linear_ubc,60,1.0,1.0,1.0,1.0,0.0,0.0,0.5439659508990746,-1.8943180357666734e-16,3.0,0.0
0.0,5.0,trust_recenter,60,1.0,1.0,1.0,1.0,0.0,0.0,0.5439659508990746,-1.8943180357666734e-16,3.0,0.0
0.05,1.5,guarded,60,1.0,1.0,1.0,1.0,0.0,0.0,0.3885343712932184,0.0199999999999999,3.0,0.0
0.05,1.5,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.3604772492731182,-9.598803233738333e-17,3.0,0.0
0.05,1.5,trust_recenter,60,1.0,1.0,1.0,1.0,0.0,0.0,0.3742370678076135,0.009999999999999882,3.0,0.0
0.05,3.0,guarded,60,1.0,0.8833333333333333,0.8833333333333333,1.0,0.0,0.11666666666666667,0.6146726519674909,0.01999999999999971,3.0,0.0
0.05,3.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.57792455781186,-1.9012569296705805e-16,3.0,0.0
0.05,3.0,trust_recenter,60,1.0,0.95,0.95,1.0,0.0,0.05,0.5957332518986139,0.009999999999999733,3.0,0.0
0.05,5.0,guarded,60,1.0,0.9,0.9,1.0,0.0,0.1,0.5717681273139357,0.01999999999999986,3.0,0.0
0.05,5.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.5371392461343334,-1.8850661772281305e-16,3.0,0.0
0.05,5.0,trust_recenter,60,1.0,0.9166666666666666,0.9166666666666666,1.0,0.0,0.08333333333333333,0.5542311726863609,0.009999999999999794,3.0,0.0
0.1,1.5,guarded,60,1.0,1.0,1.0,1.0,0.0,0.0,0.4117520681962535,0.039999999999999904,3.0,0.0
0.1,1.5,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.35664341225476964,-8.627358087191321e-17,3.0,0.0
0.1,1.5,trust_recenter,60,1.0,1.0,1.0,1.0,0.0,0.0,0.3826961860140053,0.019999999999999893,3.0,0.0
0.1,3.0,guarded,60,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.16666666666666666,0.6016268245585363,0.03999999999999973,3.0,0.0
0.1,3.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.5270403065339293,-1.114848953894428e-16,3.0,0.0
0.1,3.0,trust_recenter,60,1.0,0.8666666666666667,0.8666666666666667,1.0,0.0,0.13333333333333333,0.5618423749164355,0.019999999999999758,3.0,0.0
0.1,5.0,guarded,60,1.0,0.8166666666666667,0.8166666666666667,1.0,0.0,0.18333333333333332,0.6254678749238262,0.03999999999999977,3.0,0.0
0.1,5.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.55684561145035,-2.1071107821531617e-16,3.0,0.0
0.1,5.0,trust_recenter,60,1.0,0.9166666666666666,0.9166666666666666,1.0,0.0,0.08333333333333333,0.5894145823872121,0.019999999999999792,3.0,0.0
0.2,1.5,guarded,60,1.0,1.0,1.0,1.0,0.0,0.0,0.519746458484652,0.07999999999999982,3.0,0.0
0.2,1.5,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.3903963580186059,-1.2004286453759506e-16,3.0,0.0
0.2,1.5,trust_recenter,60,1.0,1.0,1.0,1.0,0.0,0.0,0.4523327082720633,0.03999999999999983,3.0,0.0
0.2,3.0,guarded,60,1.0,0.7,0.7,1.0,0.0,0.3,0.7456173897566539,0.0799999999999997,3.0,0.0
0.2,3.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.5844713372611194,-1.5681900222830337e-16,3.0,0.0
0.2,3.0,trust_recenter,60,1.0,0.8166666666666667,0.8166666666666667,1.0,0.0,0.18333333333333332,0.6573387204831675,0.03999999999999971,3.0,0.0
0.2,5.0,guarded,60,1.0,0.7,0.7,1.0,0.0,0.3,0.7009724572107346,0.07999999999999964,3.0,0.0
0.2,5.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.5262315325376715,-1.989149585786739e-16,3.0,0.0
0.2,5.0,trust_recenter,60,1.0,0.85,0.85,1.0,0.0,0.15,0.6067358336000577,0.03999999999999981,3.0,0.0
0.4,1.5,guarded,60,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.16666666666666666,0.6342482743781963,0.15999999999999986,3.0,0.0
0.4,1.5,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.36504970973252676,-1.4594806844551538e-16,3.0,0.0
0.4,1.5,trust_recenter,60,1.0,1.0,1.0,1.0,0.0,0.0,0.4894416113898133,0.07999999999999984,3.0,0.0
0.4,3.0,guarded,60,1.0,0.4666666666666667,0.4666666666666667,1.0,0.0,0.5333333333333333,0.8667680121185698,0.15999999999999967,3.0,0.0
0.4,3.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.5393723776922213,-1.5219307295903188e-16,3.0,0.0
0.4,3.0,trust_recenter,60,1.0,0.75,0.75,1.0,0.0,0.25,0.68851984717856,0.07999999999999972,3.0,0.0
0.4,5.0,guarded,60,1.0,0.5,0.5,1.0,0.0,0.5,0.933294113739885,0.15999999999999967,3.0,0.0
0.4,5.0,linear_ubc,60,1.0,0.0,0.0,1.0,0.0,1.0,0.571462097478167,-1.4895492247054182e-16,3.0,0.0
0.4,5.0,trust_recenter,60,1.0,0.7333333333333333,0.7333333333333333,1.0,0.0,0.26666666666666666,0.7327348071354048,0.07999999999999963,3.0,0.0
