hidden_null,contradictory,method,seed,trials,future_success,detects_unreachable,false_certificate,mean_norm,nullspace_effort
0,0,UBC,2.5,6.0,1.0,0.0,0.0,0.6483491399925987,0.0
0,0,current_with_null_effort,2.5,6.0,0.0,0.0,1.0,0.3248629773729073,0.0
0,0,gradient_line,2.5,6.0,0.6666666666666666,0.0,0.0,1.7341666666666666,0.0
0,0,sequential_greedy,2.5,6.0,0.6944444444444445,0.0,0.0,0.6875204529002191,0.0
0,1,UBC,2.5,6.0,0.0,1.0,0.0,,0.0
0,1,current_with_null_effort,2.5,6.0,0.0,0.0,0.0,0.6658132443005578,0.0
0,1,gradient_line,2.5,6.0,0.0,1.0,0.0,3.0,0.0
0,1,sequential_greedy,2.5,6.0,0.0,1.0,0.0,0.5319866617637339,0.0
1,0,UBC,2.5,6.0,0.4444444444444444,0.0,0.0,0.9084544640394547,0.0
1,0,current_with_null_effort,2.5,6.0,0.0,0.0,1.0,0.7088588515253437,0.0
1,0,gradient_line,2.5,6.0,0.3611111111111111,0.0,0.0,2.435833333333333,0.0
1,0,sequential_greedy,2.5,6.0,0.2222222222222222,0.0,0.0,1.0375470761816459,0.0
1,1,UBC,2.5,6.0,0.0,1.0,0.0,,0.0
1,1,current_with_null_effort,2.5,6.0,0.0,0.0,0.0,1.1671180439057622,0.0
1,1,gradient_line,2.5,6.0,0.0,1.0,0.0,3.0,0.0
1,1,sequential_greedy,2.5,6.0,0.0,1.0,0.0,0.4667541949400806,0.0
2,0,UBC,2.5,6.0,0.13888888888888887,0.0,0.0,1.1516508554009106,0.0
2,0,current_with_null_effort,2.5,6.0,0.0,0.0,1.0,1.4774473643426143,0.0
2,0,gradient_line,2.5,6.0,0.13888888888888887,0.0,0.0,2.7516666666666665,0.0
2,0,sequential_greedy,2.5,6.0,0.13888888888888887,0.0,0.0,1.7989064529331404,0.0
2,1,UBC,2.5,6.0,0.0,1.0,0.0,,0.0
2,1,current_with_null_effort,2.5,6.0,0.0,0.0,0.0,2.9630330392872737,0.0
2,1,gradient_line,2.5,6.0,0.0,1.0,0.0,3.0,0.0
2,1,sequential_greedy,2.5,6.0,0.0,1.0,0.0,0.8659118703948246,0.0
